codigo,nome,unidade,material,maoDeObra,total
27.103.000400.SER,"Porta de vidro temperado # 10 mm, duas folhas, com ferragem e mola hidráulica - vão 1800 x 2100 mm",cj,2686.70,0,2686.70
27.103.000420.SER,"Porta de vidro temperado # 10 mm, uma folha, com bandeira, com ferragem e mola hidráulica - vão 900 x 3500 mm",cj,1766.95,0,1766.95
27.103.000440.SER,"Porta de vidro temperado # 10 mm, duas folhas, com bandeira, com ferragem e mola hidráulica - vão 1800 x 3500 mm",cj,3468.45,0,3468.45
27.103.000460.SER,"Porta de vidro temperado # 10 mm, duas folhas, com bandeira, com ferragem e mola hidráulica - vão 1800 x 2900 mm",cj,3171.45,0,3171.45
27.103.000480.SER,"Porta de vidro temperado # 10 mm, duas folhas móveis, com bandeira e duas folhas laterais fixas, com ferragem e mola hidráulica - vão 3600 x 2900 mm",cj,4770.65,0,4770.65
27.103.000500.SER,"Porta de vidro temperado # 10 mm, duas folhas móveis, três bandeiras, dois contraventos e duas folhas laterais fixas, com ferragem e mola hidráulica - vão 3600 x 3500 mm",cj,5724.78,0,5724.78
27.104,"Laminado",m²,0,0,0
27.104.000100.SER,"Vidro cristal laminado # 6 mm colocado em caixilho com gaxeta de neoprene",m²,294.95,0,294.95
27.104.000130.SER,"Vidro cristal laminado # 8 mm colocado em caixilho com gaxeta de neoprene",m²,326.61,0,326.61
27.104.000160.SER,"Vidro cristal laminado # 10 mm colocado em caixilho com gaxeta de neoprene",m²,393.28,0,393.28
27.104.000190.SER,"Vidro cristal laminado # 12 mm colocado em caixilho com gaxeta de neoprene",m²,334.04,0,334.04
27.105,"Aramados",m²,0,0,0
27.105.000100.SER,"Vidro aramado # 6 mm colocado em caixilho com massa",m²,400.37,0,400.37
27.106,"Refletivo",m²,0,0,0
27.106.000100.SER,"Vidro refletivo # 5 mm para controle solar de fachadas - antélio, colocado em caixilho, com gaxeta de neoprene",m²,264.75,0,264.75
27.106.000130.SER,"Vidro refletivo # 6 mm para controle solar de fachadas - antélio, colocado em caixilho, com gaxeta de neoprene",m²,304.68,0,304.68
27.106.000160.SER,"Vidro refletivo # 8 mm para controle solar de fachadas - antélio, colocado em caixilho, com gaxeta de neoprene",m²,437.08,0,437.08
27.106.000190.SER,"Vidro refletivo # 10 mm para controle solar de fachadas - antélio, colocado em caixilho, com gaxeta de neoprene",m²,663.28,0,663.28
27.107,"Espelhos",m²,0,0,0
27.107.000100.SER,"Espelho cristal para sanitário # 5 mm",m²,290.00,72.20,362.20
30,"Urbanização e serviços externos",m²,0,0,0
30.105,"Redes externas, drenagem - Redes e galerias",m²,0,0,0
30.105.000100.SER,"Tubo de concreto Ø 200 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,41.47,13.69,55.16
30.105.000103.SER,"Tubo de concreto Ø 300 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,36.28,20.52,56.80
30.105.000106.SER,"Tubo de concreto Ø 400 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,44.20,26.14,70.34
30.105.000109.SER,"Tubo de concreto Ø 500 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,66.19,15.06,81.25
30.105.000112.SER,"Tubo de concreto Ø 600 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,114.01,21.12,135.13
30.105.000115.SER,"Tubo de concreto armado Ø 300 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,62.22,20.52,82.74
30.105.000118.SER,"Tubo de concreto armado Ø 400 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,80.95,26.14,107.10
30.105.000121.SER,"Tubo de concreto armado Ø 500 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,135.37,15.06,150.42
30.105.000124.SER,"Tubo de concreto armado Ø 600 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,112.60,21.12,133.72
30.105.000127.SER,"Tubo de concreto armado Ø 800 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,194.54,30.68,225.22
30.105.000130.SER,"Tubo de concreto armado Ø 1000 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,281.90,44.30,326.20
30.105.000133.SER,"Tubo de concreto armado Ø 1200 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,419.91,64.20,484.11
30.105.000136.SER,"Tubo de concreto armado Ø 1500 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,638.99,96.78,735.77
30.105.000150.SER,"Assentamento tubo de concreto Ø 200 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,0.29,13.69,13.98
30.105.000153.SER,"Assentamento tubo de concreto Ø 300 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,0.39,20.52,20.91
30.105.000156.SER,"Assentamento tubo de concreto Ø 400 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,0.78,26.14,26.92
30.105.000159.SER,"Assentamento tubo de concreto Ø 500 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,3.81,15.06,18.86
30.105.000162.SER,"Assentamento tubo de concreto Ø 600 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,6.01,21.12,27.13
30.105.000165.SER,"Assentamento tubo de concreto Ø 800 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,12.02,30.68,42.70
30.105.000168.SER,"Assentamento tubo de concreto Ø 1000 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,28.27,44.30,72.57
30.105.000171.SER,"Assentamento tubo de concreto Ø 1200 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,47.00,64.20,111.20
30.105.000174.SER,"Assentamento tubo de concreto Ø 1500 mm para águas pluviais rejuntado com argamassa de cimento e areia 1:3",m,78.91,96.78,175.69
30.105.000258.SER,"Galeria em tubos de concreto Ø 0,4 m inclusive berço",m,157.40,64.22,221.63
30.105.000261.SER,"Galeria em tubos de concreto Ø 0,6 m inclusive berço",m,231.55,75.46,307.01
30.105.000264.SER,"Galeria em tubos de concreto Ø 0,8 m inclusive berço",m,376.86,107.16,484.02
30.105.000267.SER,"Galeria em tubos de concreto Ø 1,0 m inclusive berço",m,540.67,145.68,686.34
30.105.000270.SER,"Galeria em tubos de concreto Ø 1,2 m inclusive berço",m,766.42,192.88,959.30
30.105.000273.SER,"Galeria em tubos de concreto Ø 1,5 m inclusive berço",m,1111.70,260.56,1372.26
30.105.000311.SER,"Galeria dupla em tubos de concreto Ø 0,8 m inclusive berço",m,741.79,184.67,926.45
30.105.000313.SER,"Galeria dupla em tubos de concreto Ø 1,0 m inclusive berço",m,1057.50,249.85,1307.35
30.105.000315.SER,"Galeria dupla em tubos de concreto Ø 1,2 m inclusive berço",m,1497.53,332.69,1830.22
30.105.000317.SER,"Galeria dupla em tubos de concreto Ø 1,5 m inclusive berço",m,2172.69,455.21,2627.90
30.105.000415.SER,"Galeria tripla em tubos de concreto Ø 1,0 m inclusive berço",m,1573.82,353.51,1927.33
30.105.000418.SER,"Galeria tripla em tubos de concreto Ø 1,2 m inclusive berço",m,2238.55,474.09,2712.65
30.105.000421.SER,"Galeria tripla em tubos de concreto Ø 1,5 m inclusive berço",m,3269.91,670.54,3940.45
30.105.000500.SER,"Apoio em concreto para galeria tubular simples Ø 0,40 m",un,64.60,43.60,108.20
30.105.000503.SER,"Apoio em concreto para galeria tubular simples Ø 0,60 m",un,84.53,54.71,139.24
30.105.000506.SER,"Apoio em concreto para galeria tubular simples Ø 0,80 m",un,104.54,66.03,170.57
30.105.000509.SER,"Apoio em concreto para galeria tubular simples Ø 1,0 m",un,123.20,76.37,199.57
30.105.000512.SER,"Apoio em concreto para galeria tubular simples Ø 1,2 m",un,140.79,85.99,226.78
30.105.000515.SER,"Apoio em concreto para galeria tubular simples Ø 1,5 m",un,171.23,104.06,275.29
30.105.000518.SER,"Apoio em concreto para galeria tubular dupla Ø 0,8 m",un,202.63,120.84,323.46
30.105.000521.SER,"Apoio em concreto para galeria tubular dupla Ø 1,0 m",un,240.31,141.60,381.91
30.105.000524.SER,"Apoio em concreto para galeria tubular dupla Ø 1,2 m",un,274.75,160.67,435.42
30.105.000527.SER,"Apoio em concreto para galeria tubular dupla Ø 1,5 m",un,305.22,148.45,453.67
30.105.000530.SER,"Apoio em concreto para galeria tubular tripla Ø 1,0 m",un,352.98,203.82,556.80
30.105.000533.SER,"Apoio em concreto para galeria tubular tripla Ø 1,2 m",un,389.37,205.16,594.53
30.105.000536.SER,"Apoio em concreto para galeria tubular tripla Ø 1,5 m",un,490.52,282.53,773.06
30.105.000611.SER,"Boca em concreto para galeria tubular Ø 0.4 m esconsa a 15°",un,386.86,230.29,617.15
30.105.000613.SER,"Boca em concreto para galeria tubular Ø 0.4 m esconsa a 30°",un,432.06,256.63,688.69
30.105.000615.SER,"Boca em concreto para galeria tubular Ø 0.4 m esconsa a 45°",un,539.33,316.82,856.15
